DATE,CORESTICKM159SFRBATL
1987-08-01,4.293051178
1987-09-01,4.305931321
1987-10-01,4.356981982
1987-11-01,4.329616016
1987-12-01,4.291749243
1988-01-01,4.373233966
1988-02-01,4.375628463
1988-03-01,4.440936865
1988-04-01,4.37597416
1988-05-01,4.432652625
1988-06-01,4.673118224
1988-07-01,4.70086963
1988-08-01,4.674256215
1988-09-01,4.721200474
1988-10-01,4.607887381
1988-11-01,4.742903047
1988-12-01,4.790034691
1989-01-01,4.748201473
1989-02-01,4.783533199
1989-03-01,4.750414948
1989-04-01,4.618488017
1989-05-01,4.742747969
1989-06-01,4.74510822
1989-07-01,4.893807623
1989-08-01,4.854148787
1989-09-01,4.669891213
1989-10-01,4.802933382
1989-11-01,4.797568826
1989-12-01,4.829006386
1990-01-01,4.905908309
1990-02-01,4.91755923
1990-03-01,5.19152475
1990-04-01,5.276985365
1990-05-01,5.166732439
1990-06-01,5.370697673
1990-07-01,5.516605952
1990-08-01,5.836270781
1990-09-01,5.930360317
1990-10-01,5.798506168
1990-11-01,5.683108196
1990-12-01,5.651092078
1991-01-01,5.815290409
1991-02-01,5.8623588
1991-03-01,5.474284579
1991-04-01,5.276160434
1991-05-01,5.222445891
1991-06-01,4.934653949
1991-07-01,4.713410392
1991-08-01,4.393094508
1991-09-01,4.443594793
1991-10-01,4.288991989
1991-11-01,4.34967757
1991-12-01,4.346967664
1992-01-01,4.052308746
1992-02-01,3.861765064
1992-03-01,3.975844252
1992-04-01,4.066438773
1992-05-01,3.926410529
1992-06-01,3.860188559
1992-07-01,3.769367667
1992-08-01,3.628120085
1992-09-01,3.349237754
1992-10-01,3.6359146
1992-11-01,3.629469745
1992-12-01,3.478262556
1993-01-01,3.528455109
1993-02-01,3.561853788
1993-03-01,3.334428143
1993-04-01,3.404237829
1993-05-01,3.532736691
1993-06-01,3.569326945
1993-07-01,3.422616714
1993-08-01,3.508810757
1993-09-01,3.642383692
1993-10-01,3.424737275
1993-11-01,3.436277096
1993-12-01,3.548475916
1994-01-01,3.375759896
1994-02-01,3.415920384
1994-03-01,3.570150943
1994-04-01,3.354397547
1994-05-01,3.225532887
1994-06-01,3.194738495
1994-07-01,3.233880147
1994-08-01,3.306714086
1994-09-01,3.254281644
1994-10-01,3.164264289
1994-11-01,3.128282179
1994-12-01,2.901446577
1995-01-01,3.144200833
1995-02-01,3.124100115
1995-03-01,3.167481169
1995-04-01,3.306684647
1995-05-01,3.355294523
1995-06-01,3.332283478
1995-07-01,3.386948974
1995-08-01,3.23814109
1995-09-01,3.351697522
1995-10-01,3.46411606
1995-11-01,3.37996065
1995-12-01,3.379829487
1996-01-01,3.277075064
1996-02-01,3.259936249
1996-03-01,3.134500987
1996-04-01,3.004778103
1996-05-01,3.047772222
1996-06-01,3.051784638
1996-07-01,3.087421545
1996-08-01,3.083473301
1996-09-01,3.063090207
1996-10-01,2.943741816
1996-11-01,2.980390413
1996-12-01,3.05642197
1997-01-01,2.91241515
1997-02-01,2.802464903
1997-03-01,2.854608076
1997-04-01,2.910920374
1997-05-01,2.870203143
1997-06-01,2.828445596
1997-07-01,2.752239262
1997-08-01,2.653670773
1997-09-01,2.544804261
1997-10-01,2.618900715
1997-11-01,2.548580799
1997-12-01,2.621535622
1998-01-01,2.673178027
1998-02-01,2.691552555
1998-03-01,2.672304266
1998-04-01,2.640497846
1998-05-01,2.611332031
1998-06-01,2.600204475
1998-07-01,2.603335947
1998-08-01,2.633982138
1998-09-01,2.594217982
1998-10-01,2.535056337
1998-11-01,2.523581703
1998-12-01,2.437823
1999-01-01,2.383116
1999-02-01,2.316234
1999-03-01,2.237507
1999-04-01,2.226592
1999-05-01,2.153318
1999-06-01,2.070264
1999-07-01,2.111144
1999-08-01,2.094839
1999-09-01,2.070746
1999-10-01,2.04962
1999-11-01,2.147821
1999-12-01,2.167848
2000-01-01,2.335519
2000-02-01,2.379221
2000-03-01,2.483286
2000-04-01,2.409239
2000-05-01,2.558647
2000-06-01,2.701492
2000-07-01,2.71297
2000-08-01,2.874818
2000-09-01,2.897082
2000-10-01,2.919941
2000-11-01,2.870145
2000-12-01,2.972089
2001-01-01,2.878468
2001-02-01,2.979742
2001-03-01,2.961886
2001-04-01,3.091112
2001-05-01,3.07401
2001-06-01,3.200619
2001-07-01,3.207811
2001-08-01,3.251713
2001-09-01,3.388746
2001-10-01,3.484066
2001-11-01,3.601999
2001-12-01,3.564921
2002-01-01,3.557463
2002-02-01,3.527436
2002-03-01,3.46848
2002-04-01,3.465822
2002-05-01,3.452132
2002-06-01,3.241692
2002-07-01,3.263706
2002-08-01,3.146595
2002-09-01,3.026606
2002-10-01,2.937194
2002-11-01,2.824322
2002-12-01,2.792164
2003-01-01,2.778159
2003-02-01,2.69562
2003-03-01,2.619135
2003-04-01,2.450573
2003-05-01,2.338588
2003-06-01,2.261697
2003-07-01,2.228217
2003-08-01,2.155287
2003-09-01,2.174311
